epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.6846	4.8831	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
1	0.8008	5.1466	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
2	0.6862	5.3541	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
3	0.6342	5.1538	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
4	0.6356	5.3170	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
5	0.5772	5.0396	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
6	0.5851	5.2875	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
7	0.5910	5.2119	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
8	0.5533	5.4562	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
9	0.5381	5.3547	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
10	0.5555	5.0993	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
11	0.5123	5.9351	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
12	0.5133	5.2583	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
13	0.5066	6.1578	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
14	0.5033	4.9096	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
15	0.5026	5.5302	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
16	0.4859	6.2274	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
17	0.4679	6.2227	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
18	0.4729	5.4793	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
19	0.4751	6.6743	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
20	0.4783	5.6685	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
21	0.4557	5.8135	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
