epoch	tr_loss	v_ppl
0	4.6638	61.0979	Best at epoch 0
1	3.7249	52.3017	Best at epoch 1
2	3.6428	49.4846	Best at epoch 2
3	3.6130	50.0892	Best at epoch 2
4	3.6013	49.6527	Best at epoch 2
5	3.5909	49.0818	Best at epoch 5
6	3.5926	49.1222	Best at epoch 5
7	3.5999	49.8690	Best at epoch 5
8	3.6051	49.7910	Best at epoch 5
9	3.6108	51.5312	Best at epoch 5
10	3.6214	51.4795	Best at epoch 5
11	3.6326	51.9835	Best at epoch 5
12	3.6372	51.7238	Best at epoch 5
13	3.6408	51.5984	Best at epoch 5
14	3.6455	52.2070	Best at epoch 5
15	3.6506	52.9075	Best at epoch 5
16	3.6635	52.7765	Best at epoch 5
17	3.6690	52.7873	Best at epoch 5
18	3.6797	55.3138	Best at epoch 5
19	3.7401	56.0302	Best at epoch 5
20	3.7205	57.2099	Best at epoch 5
21	3.7447	57.9648	Best at epoch 5
22	3.7405	56.7001	Best at epoch 5
23	3.7474	58.5743	Best at epoch 5
24	3.7608	58.4184	Best at epoch 5
25	3.7662	58.9605	Best at epoch 5
26	3.7701	59.3895	Best at epoch 5
27	3.7996	62.6990	Best at epoch 5
28	3.8083	62.4836	Best at epoch 5
